INFO 2025-03-19 22:29:24,651 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-19 22:29:24,652 autoreload Waiting for apps ready_event.
DEBUG 2025-03-19 22:29:24,655 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-19 22:29:24,681 autoreload Watching dir D:\MySQL\MySQL_Database\templates with glob **/*.
DEBUG 2025-03-19 22:29:24,682 autoreload Watching dir D:\MySQL\.venv\Lib\site-packages\crispy_bootstrap4\templates with glob **/*.
DEBUG 2025-03-19 22:29:24,682 autoreload Watching dir D:\MySQL\MySQL_Database\locale with glob **/*.mo.
DEBUG 2025-03-19 22:29:24,682 autoreload Watching dir D:\MySQL\MySQL_Database\MySQL_CRUD\locale with glob **/*.mo.
DEBUG 2025-03-19 22:29:24,683 autoreload Watching dir D:\MySQL\.venv\Lib\site-packages\crispy_forms\locale with glob **/*.mo.
DEBUG 2025-03-19 22:29:24,686 autoreload Watching dir D:\MySQL\.venv\Lib\site-packages\crispy_bootstrap4\locale with glob **/*.mo.
DEBUG 2025-03-19 22:29:24,712 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2025-03-19 22:29:24,712 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2025-03-19 22:29:24,713 utils (0.001) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2025-03-19 22:29:24,717 utils (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2025-03-19 22:29:24,767 autoreload File D:\MySQL\.venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1742313109.3423543
DEBUG 2025-03-19 22:29:24,767 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\tempfile.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,768 autoreload File D:\MySQL\.venv\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1742313111.6672895
DEBUG 2025-03-19 22:29:24,768 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1742313111.4869025
DEBUG 2025-03-19 22:29:24,768 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\email\errors.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,769 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1742313110.8269064
DEBUG 2025-03-19 22:29:24,769 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1742313111.3339353
